,Autor: ,Comentario: 
0,@iammarkasmith,Lost my son a week ago to a tragic accident. He was 9. He loved your music and this one is perfect.
1,@marcinrowiczek,"Bro, you are so talentful guy! Hopefully you will be in the hot100!"
2,@honeytambalyagao8096,this should be longer 
3,@bromuxz,"There's an angel in your room tonight
As your rest and it saw you cross that finish line
That final breath
And im wishing you my best goodbye but"
4,@minmin-pp9sq,"DAMNNNNNNNNNNNNNNNNNNNN THIS SONG IS NEVER TIRING TO LISTEN TO!!!!!!!!!!!!!!
SENDING MUCH LOVE TO GRAHAM!"
5,@shskbambam,This song reminds me of how to train your dragon movies. Especially that movie brings nostalgia to me. Its comfortable and homey. This song is something hits smthing personal to me. Now it on loop 
6,@stella3635,"Impeccable. The crowd vocal was a beautiful touch that elevates the song—wholesome! Plus, the perfect ending for seamless, endless looping of this special piece . Thank youuu! "
7,@sungierachhh,A song as good as this should be watched by more people!!
8,@graceyoon2508,This song was well made and is beautiful 
9,@user-ge5xt1cf8m,超好聽
10,@Kikidrby,"it's perfect, I feel like my soul's gonna fly out of me and go wherever it wants to go. Not many songs can do that.  <3"
11,@LeaJaneEvasco,I love you songs been playing all these for 3 days now.. been loving your creativity. regards to your amazing wife. she's so cool 
12,@pixelarreal,"No need to think long, I put you at the top tier of my playlist "
13,@TitaniumGIJOE,"Love it! Keep making your dreams come true please, Graham! You got this"
14,@mashav0240,Эта песня - мой наркотик ️‍
15,@mayanksaini7012,A song that I ll play on loop on a long drive
16,@albertomilan570,All your tunes need to run longer. It's too good not too!
17,@brendasandoval4453,I just so your reel and have loved it since that moment!! This is pure gold 
18,@diegoyde,Ae cara você é muito bom🇧🇷
19,@fu3gomyeggo112,Instantly my new favorite song
20,@antokasna3039,This song gives me goosebumps
21,@user-kx8rn9te5y,"This is really amazing, I really like it, it will become my favorite"
22,@tri3348,Literally just found this on Instagram and I love it.
23,@kennethaguilar5920,Just realized this came out a while ago and I’m loving it
24,@jordanjacinto5280,On repeat 
25,@chintiaberliana125,"must be longer for this, aaaahh i love this song"
26,@i_want_potato,I came here bec of insta and saw how it was made! It sounded so good
27,@zzjz2166,Love it 
28,@williamsamukcham8551,"Saw a clip on Instagram for this song, Bro, this song is on fire"
29,@joshuaheywood5869,Great work!!
30,@lanaluan4854,天赋异禀骨骼惊奇nice
31,@airn._24,0:21  i really like this song!!!
32,@harappelangi,great song 
33,@nothingness9465,"Lyrics :

There’s an angel in your room tonight

As you rest"
34,@minjiyeon5498,I NEED A LONGER VERSION 
35,@crystalhowell4838,Love your songs so much keep it up ️️
36,@seiyihiga2486,"bro, this is a fcking banger dude... one of the best songs ive heard in my whle damn life"
37,@Lolkameron,This song should be in a movie.
38,@user-fk6hw9ph9l,"this is a good song, can you make it longer?"
39,@hernandez.h3ctor,"Makes me happy , sad , remembering times i had , never had , never will .. maybe i might"
40,@dikbandrek4304,"Perlahan lagumu merambah Indonesia, semoga juga bs booming"
41,@davin1298,I really like this song  and i following u from Instagram 
42,@maidamattu8874,This is soooo good️️️️
43,@Jacob-zx2qi,How is this not #1 right now
44,@aidamohammadizadeh9816,I can't get enough 
45,@Dongree0629,You made a Best Pop Song that I never seen before.
46,@M13K3_ROOTHM4N,Love love love this
47,@cellina267,I love it ️
48,@DimonDezibar,I found it on instagram 
49,@Isikot,I need the lyrics 
50,@zakharAKArickie,Nice melodies 
51,@nyaaaa1n,<3333 luv this
52,@sungbeenlee9317,beautiful song
53,@jenniferservillo247,Bellissima
54,@HarryCisneros-jw9hq,Love it 
55,@noorhussen7221,Beautiful 
56,@Test-rq4pf,"I found you on instra reels so that made me know your song, its so appreciate"
57,@Jay-px2np,感謝Reals帶我到這裡
58,@user-qr4lu5rv9l,진짜 미친다
59,@jayshawncook1454,Hey you should make this song longer
60,@ramitavids9486,"This is a great song, but I believe it could benefit from being longer, at least 2 minutes and 30 seconds, to truly stand out as a hit. Perhaps consider extending its length or collaborating with another artist to enhance it."
61,@NurmanBreakdown,Mindblowing idea  🇮🇩
62,@user-fb3vt2ro5d,I like it
63,@zivannaelnova-yp9ny,THIS SONG IT’S MY FAV SONG
64,@user-rn5ot6lm3z,So amazing
65,@rachaelp8024,Please release this song..
66,@kira.karimova,so beautiful bro 
67,@RidhoAgungPrasetyo,"Im from Indonesia 🇮🇩 
I know ur song from instagram reels.. I like  ur song bro.."
68,@3cori330,
69,@speednees1418,I find this on rells instagram and i am here for music
70,@Maruki_0203,
71,@xfrisk3084,nice bro 
72,@chitamnguyen7823,From instagram. Amazing work 
73,@MellyJelly113_,I saw the tiktok of this song being made and i had to listen to the whole thing
74,@user-fp7fw4nx3x,"Умоляю, сделайте кто-нибудь перевод на русский.. "
75,@fritziefayecomonsad6,I'm a fan
76,@pffftt7200,"just found this song from reels, and in the end i'm here"
77,@thesoul7497,Dang bro make it a full song 
78,@Matrixx1267,0:27 to 0:32 hits different...
79,@jenesamontejo760,i lovee itt that my fav song
